Client_Name,VCIO_Assigned,Monthly_Hours_Allocated,Service_Tier,MRR,Contract_Renewal_Date
Acme Manufacturing,Lisa,16,Standard,2800,2025-03-15
BlueSky Retail,Lisa,12,Basic,1800,2025-06-01
CoreTech Solutions,Lisa,20,Premium,4200,2025-02-10
DataFlow Inc,Mike,16,Standard,2600,2025-08-22
EastCoast Medical,Mike,24,Premium,5100,2025-01-30
Finance Pro Group,Mike,12,Standard,2200,2025-04-12
GreenLeaf Logistics,Lisa,8,Basic,1400,2025-07-18
HealthTech Partners,Mike,20,Premium,4800,2025-03-05
Innovate Systems,Lisa,16,Standard,2900,2025-05-20
JumpStart Media,Mike,12,Basic,1900,2025-07-01
KeyStone Financial,Lisa,20,Premium,4500,2025-04-15
Logistics Plus,Mike,16,Standard,2700,2025-06-10
Metro Manufacturing,Lisa,24,Premium,5300,2025-02-28
Northern Tech,Mike,12,Standard,2100,2025-08-05
Omega Solutions,Lisa,16,Standard,2800,2025-03-25
Pacific Consulting,Mike,20,Premium,4600,2025-05-12
Quantum Dynamics,Lisa,12,Basic,1700,2025-07-22
Riverside Properties,Mike,16,Standard,2500,2025-04-08
Summit Services,Lisa,20,Premium,4400,2025-06-18
TechForward Inc,Mike,24,Premium,5200,2025-01-15
United Operations,Lisa,12,Basic,1600,2025-08-30
Vector Systems,Mike,16,Standard,2900,2025-03-02
WestCoast Digital,Lisa,20,Premium,4700,2025-05-25
Xenon Industries,Mike,12,Standard,2300,2025-07-08
Zenith Partners,Lisa,16,Standard,2600,2025-04-20
